Text,Story of Self (Origin),Story of Us,Story of Now,Challenge,Choice,Outcome,
Wow.,,,,,,
Thank you.,,,,,,
Thank you.,,,,,,
Thank you.,,,,,,
Wow.,,,,,,
Thank you.,,,,,,
"""Thank you, first of all, to Vice President Harris.""",,,,,,
"""Thanks for putting your trust in me, and for inviting me to be part of this incredible campaign.""",,,,,,
That’s how we’ll keep moving forward.,,,1,,,1
That’s how we’ll turn the page on Donald Trump.,,,1,,1,1
"That’s how we’ll build a country where workers come first, health care and housing are human rights, and the government stays the hell out of your bedroom.""",,,1,,,1
That’s how we make America a place where no child is left hungry.,,,1,,,1
Where no community is left behind.,,,1,,,1
Where nobody gets told they don’t belong.,,,1,,,1
That’s how we’re going to fight.,,,1,,1,
"""And as the next president of the United States always says, when we fight —""",,,1,,1,
[Crowd chants: “We win!”],,1,1,,,1
When we fight —,,,1,,,
[Crowd chants: “We win!”],,1,1,,,
When we fight —,,,1,,,
[Crowd chants: “We win!”],,1,1,,,
Thank you.,,,,,,
God bless.,,,,,,
